Protocol,Port,Domain,Request Status,Screenshot Path, Source Path
http,80,pay.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.pay.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.pay.sleekflow.io.txt
http,80,pay-uaen.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.pay-uaen.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.pay-uaen.sleekflow.io.txt
http,80,pay-weu.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.pay-uaen.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.pay-weu.sleekflow.io.txt
http,80,perf-revamp.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.staging-revamp.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.perf-revamp.sleekflow.io.txt
http,80,perf.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.sleekflow-core-app-eas-performance.azurewebsites.net.png,/home/kali/Projects/enum/screens/source/http.perf.sleekflow.io.txt
http,80,phrase-marketing.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.phrase-marketing.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.phrase-marketing.sleekflow.io.txt
http,80,phrase-revamp-uat.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.phrase-revamp-uat.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.phrase-revamp-uat.sleekflow.io.txt
http,80,powerflow.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.powerflow.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.powerflow.sleekflow.io.txt
http,80,preprod-us.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.preprod-us.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.preprod-us.sleekflow.io.txt
http,80,preview.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.sleekflow-core-app-eas-performance.azurewebsites.net.png,/home/kali/Projects/enum/screens/source/http.preview.sleekflow.io.txt
http,80,product.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.product.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.product.sleekflow.io.txt
http,80,prospect.sleekflow.io,BadStatus,/home/kali/Projects/enum/screens/screens/http.prospect.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.prospect.sleekflow.io.txt
http,80,prospect-sleekflow-io.prospectrck.com,BadStatus,/home/kali/Projects/enum/screens/screens/http.prospect-sleekflow-io.prospectrck.com.png,/home/kali/Projects/enum/screens/source/http.prospect-sleekflow-io.prospectrck.com.txt
http,80,referralpartner.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.referralpartner.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.referralpartner.sleekflow.io.txt
http,80,reseller.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.reseller.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.reseller.sleekflow.io.txt
http,80,sgreseller.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.reseller.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.sgreseller.sleekflow.io.txt
http,80,sleekflow-cdn-prod.azureedge.net,Successful,/home/kali/Projects/enum/screens/screens/http.sleekflow-cdn-prod.azureedge.net.png,/home/kali/Projects/enum/screens/source/http.sleekflow-cdn-prod.azureedge.net.txt
http,80,sleekflow-core-app-eas-performance.azurewebsites.net,Successful,/home/kali/Projects/enum/screens/screens/http.sleekflow-core-app-eas-performance.azurewebsites.net.png,/home/kali/Projects/enum/screens/source/http.sleekflow-core-app-eas-performance.azurewebsites.net.txt
http,80,sleekflow-core-worker-app-eas-production.azurewebsites.net,Successful,/home/kali/Projects/enum/screens/screens/http.sleekflow-core-app-eas-performance.azurewebsites.net.png,/home/kali/Projects/enum/screens/source/http.sleekflow-core-worker-app-eas-production.azurewebsites.net.txt
http,80,sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.sleekflow.io.txt
http,80,sleekflow-share-tracking.azurewebsites.net,Successful,/home/kali/Projects/enum/screens/screens/http.sleekflow-share-tracking.azurewebsites.net.png,/home/kali/Projects/enum/screens/source/http.sleekflow-share-tracking.azurewebsites.net.txt
http,80,sleekflow-sleek-pay-app-eas-dev72229138.azurewebsites.net,Successful,/home/kali/Projects/enum/screens/screens/http.pay-uaen.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.sleekflow-sleek-pay-app-eas-dev72229138.azurewebsites.net.txt
http,80,sleekflow-sleek-pay-app-eas-production74183132.azurewebsites.net,Successful,/home/kali/Projects/enum/screens/screens/http.pay-uaen.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.sleekflow-sleek-pay-app-eas-production74183132.azurewebsites.net.txt
http,80,sleekflow-sleek-pay-app-eas-stagingbdaed46a.azurewebsites.net,Successful,/home/kali/Projects/enum/screens/screens/http.pay-uaen.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.sleekflow-sleek-pay-app-eas-stagingbdaed46a.azurewebsites.net.txt
http,80,sleekflow-sleek-pay-app-eus-production234d48b8.azurewebsites.net,Successful,/home/kali/Projects/enum/screens/screens/http.pay-uaen.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.sleekflow-sleek-pay-app-eus-production234d48b8.azurewebsites.net.txt
http,80,sleekflow-sleek-pay-app-seas-production711e69f0.azurewebsites.net,Successful,/home/kali/Projects/enum/screens/screens/http.pay-uaen.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.sleekflow-sleek-pay-app-seas-production711e69f0.azurewebsites.net.txt
http,80,sleekflow-sleek-pay-app-uaen-production4ca668ba.azurewebsites.net,Successful,/home/kali/Projects/enum/screens/screens/http.pay-uaen.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.sleekflow-sleek-pay-app-uaen-production4ca668ba.azurewebsites.net.txt
http,80,sleekflow-sleek-pay-app-weu-production0edec8b4.azurewebsites.net,Successful,/home/kali/Projects/enum/screens/screens/http.pay-uaen.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.sleekflow-sleek-pay-app-weu-production0edec8b4.azurewebsites.net.txt
http,80,sleekflowuat.azureedge.net,Successful,/home/kali/Projects/enum/screens/screens/http.sleekflowuat.azureedge.net.png,/home/kali/Projects/enum/screens/source/http.sleekflowuat.azureedge.net.txt
http,80,sso.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.sso-staging.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.sso.sleekflow.io.txt
http,80,sso-staging.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.sso-staging.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.sso-staging.sleekflow.io.txt
